@relation CITIES_vs_MOUNTAINS
@attribute filename string
@attribute class {CITY,MOUNTAIN}
@data
c3.jpg, CITY
c4.jpg, CITY
c5.jpg, CITY
c6.jpg, CITY
c7.jpg, CITY
c8.jpg, CITY
c9.jpg, CITY
c10.jpg, CITY
c11.jpg, CITY
c12.jpg, CITY
c13.jpg, CITY
c14.jpg, CITY
c15.jpg, CITY
c16.jpg, CITY
c17.jpg, CITY
c18.jpg, CITY
c19.jpg, CITY
c20.jpg, CITY
c21.jpg, CITY
c22.jpg, CITY
c23.jpg, CITY
c24.jpg, CITY
c25.jpg, CITY
c26.jpg, CITY
c27.jpg, CITY
c28.jpg, CITY
c29.jpg, CITY
c30.jpg, CITY
c31.jpg, CITY
c32.jpg, CITY
c33.jpg, CITY
c34.jpg, CITY
c35.jpg, CITY
c36.jpg, CITY
c37.jpg, CITY
c38.jpg, CITY
c39.jpg, CITY
c40.jpg, CITY
c41.jpg, CITY
c42.jpg, CITY
c43.jpg, CITY
c44.jpg, CITY
c45.jpg, CITY
c46.jpg, CITY
c47.jpg, CITY
c48.jpg, CITY
c49.jpg, CITY
c50.jpg, CITY
c51.jpg, CITY
c52.jpg, CITY
c53.jpg, CITY
c54.jpg, CITY
c55.jpg, CITY
c56.jpg, CITY
c57.jpg, CITY
c58.jpg, CITY
c59.jpg, CITY
c60.jpg, CITY
c61.jpg, CITY
c62.jpg, CITY
c63.jpg, CITY
c64.jpg, CITY
c65.jpg, CITY
c66.jpg, CITY
c67.jpg, CITY
c68.jpg, CITY
c69.jpg, CITY
c70.jpg, CITY
c71.jpg, CITY
c72.jpg, CITY
c73.jpg, CITY
c74.jpg, CITY
c75.jpg, CITY
c76.jpg, CITY
c77.jpg, CITY
c78.jpg, CITY
m1.jpg, MOUNTAIN
m2.jpg, MOUNTAIN
m3.jpg, MOUNTAIN
m4.jpg, MOUNTAIN
m5.jpg, MOUNTAIN
m6.jpg, MOUNTAIN
m7.jpg, MOUNTAIN
m8.jpg, MOUNTAIN
m9.jpg, MOUNTAIN
m10.jpg, MOUNTAIN
m11.jpg, MOUNTAIN
m12.jpg, MOUNTAIN
m13.jpg, MOUNTAIN
m14.jpg, MOUNTAIN
m15.jpg, MOUNTAIN
m16.jpg, MOUNTAIN
m17.jpg, MOUNTAIN
m18.jpg, MOUNTAIN
m19.jpg, MOUNTAIN
m20.jpg, MOUNTAIN
m21.jpg, MOUNTAIN
m22.jpg, MOUNTAIN
m23.jpg, MOUNTAIN
m24.jpg, MOUNTAIN
m25.jpg, MOUNTAIN
m26.jpg, MOUNTAIN
m27.jpg, MOUNTAIN
m30.jpg, MOUNTAIN
m31.jpg, MOUNTAIN
m32.jpg, MOUNTAIN
m33.jpg, MOUNTAIN
m34.jpg, MOUNTAIN
m35.jpg, MOUNTAIN
m36.jpg, MOUNTAIN
m37.jpg, MOUNTAIN
m38.jpg, MOUNTAIN
m39.jpg, MOUNTAIN
m40.jpg, MOUNTAIN
m41.jpg, MOUNTAIN
m42.jpg, MOUNTAIN
m43.jpg, MOUNTAIN
m44.jpg, MOUNTAIN
m45.jpg, MOUNTAIN
m46.jpg, MOUNTAIN
m47.jpg, MOUNTAIN
m48.jpg, MOUNTAIN
m49.jpg, MOUNTAIN
m50.jpg, MOUNTAIN
m51.jpg, MOUNTAIN
m52.jpg, MOUNTAIN
m53.jpg, MOUNTAIN
m54.jpg, MOUNTAIN
m55.jpg, MOUNTAIN
m56.jpg, MOUNTAIN
m57.jpg, MOUNTAIN
m58.jpg, MOUNTAIN
m59.jpg, MOUNTAIN
m60.jpg, MOUNTAIN
m61.jpg, MOUNTAIN
m62.jpg, MOUNTAIN
m63.jpg, MOUNTAIN
m64.jpg, MOUNTAIN
m65.jpg, MOUNTAIN
m66.jpg, MOUNTAIN
m67.jpg, MOUNTAIN
m68.jpg, MOUNTAIN
m69.jpg, MOUNTAIN
m70.jpg, MOUNTAIN
m71.jpg, MOUNTAIN
m72.jpg, MOUNTAIN
m74.jpg, MOUNTAIN
m75.jpg, MOUNTAIN
m76.jpg, MOUNTAIN
m77.jpg, MOUNTAIN
m78.jpg, MOUNTAIN
m79.jpg, MOUNTAIN
m80.jpg, MOUNTAIN
m81.jpg, MOUNTAIN
m82.jpg, MOUNTAIN
m83.jpg, MOUNTAIN
m84.jpg, MOUNTAIN
m86.jpg, MOUNTAIN
m87.jpg, MOUNTAIN

